BASE_YR,BASE_MM,AGFD_PDLT_NM,PDTN_QY
2020,08,바나나,84359
2020,08,바나나 국산,1317
2020,08,밤,164317
2020,08,방울,27414
2020,08,방울양배추,480
2020,08,배,602467
2020,08,배추,1533815
2020,08,배추얼갈이,141175
2020,08,버섯,1826581
2020,08,보리,88
2020,08,복수박,40428
2020,08,복숭아,455916
2020,08,부추,88048
2020,08,브로코리,263127
2020,08,브로콜리,14421
2020,08,블루베리,4990
2020,08,비트,311181
2020,08,빨간양배추,52533
2020,08,사과,2997365
2020,08,산딸기,3874
2020,08,살구,13164
2020,08,상추,271655
2020,08,새싹채소,981
2020,08,생강,12985
2020,08,석류,6014
2020,08,세러리,8703
2020,08,수박,4858010
2020,08,수입과일,886300
2020,08,숙주,73680
2020,08,시금치,466819
2020,08,신선초,8703
2020,08,쌈채,5946
2020,08,쌈추,10925
2020,08,쑥갓,918
2020,08,아욱,405
2020,08,애플수박,2456
2020,08,애호박,455695
2020,08,양배추,1422389
2020,08,양상추,335986
2020,08,양파,2747175
2020,08,얼갈이,4500
2020,08,연근,1155
2020,08,열무,68181
2020,08,열무 얼갈이,77049
2020,08,오디 국산,47470
2020,08,오렌지,6014
2020,08,오이,898941
2020,08,옥수수,196210
2020,08,완두콩,53101
2020,08,우엉,620
2020,08,인삼,2954
2020,08,자두,213475
2020,08,자몽,6014
2020,08,적양배추,360
2020,08,쪽파,83803
2020,08,찰옥수수,132519
2020,08,참나물,53904
2020,08,참다래 국산,12177
2020,08,참외,84503
2020,08,청경채,11941
2020,08,청양고추,57798
2020,08,체리,3157
2020,08,취나물,84533
2020,08,츄키니,11160
2020,08,케일,8703
2020,08,콜라비,3377
2020,08,콩나물,394553
2020,08,키위,4290
2020,08,토마토,1894618
2020,08,토마토(방울),730815
2020,08,파세리,28372
2020,08,파인애플,93732
2020,08,파채,24884
2020,08,파프리카,215597
2020,08,포도,776448
2020,08,풋고추,278528
2020,08,풋옥수수,35075
2020,08,피망,4207
2020,08,호박,887616
2020,08,홍갓,43519
2020,08,홍고추,16492
2020,09,가지,841835
2020,09,감,126697
2020,09,감귤,830194
2020,09,감자,1117247
2020,09,갓,11063
2020,09,건가지,4116
2020,09,건고추,25059
2020,09,건취나물,3745
2020,09,고구마,1462990
2020,09,고구마순,2445
2020,09,고사리,31257
2020,09,고추,3098990
2020,09,곶감,31518
2020,09,근대,88522
2020,09,기타잡곡류,2356
2020,09,깐마늘,239237
2020,09,깐양파,109924
2020,09,깻잎,53219
2020,09,냉이,8542
2020,09,늙은호박,63584
2020,09,다발무,60893
2020,09,단감,280520
2020,09,단호박,37260
2020,09,달래,13278
2020,09,당근,802905
2020,09,대추,84005
2020,09,대파,1604835
2020,09,더덕,30729
2020,09,도라지,25034
2020,09,돈나물,2808
2020,09,돌나물,6608
2020,09,두릅,5816
2020,09,따리,250
2020,09,딸기,229562
2020,09,레몬,9781
2020,09,마,21950
2020,09,마늘,694692
2020,09,마늘 쫑,1581
2020,09,메론,809449
2020,09,모둠쌈,71233
2020,09,무,1757249
2020,09,무화과,11675
2020,09,물미역(청과),4795
2020,09,미나리,33288
2020,09,바나나,124767
2020,09,바나나 국산,7190
2020,09,밤,350891
2020,09,방울,31107
2020,09,배,1168260
2020,09,배추,1278067
2020,09,배추얼갈이,115964
2020,09,버섯,1959471
2020,09,복수박,104174
2020,09,복숭아,319036
2020,09,부추,126633
2020,09,브로코리,274152
2020,09,브로콜리,6041
2020,09,블루베리,3574
2020,09,비트,295447
2020,09,빨간양배추,31903
2020,09,사과,3289611
2020,09,산딸기,9152
2020,09,살구,2040
2020,09,상추,271055
2020,09,새싹채소,1295
2020,09,생강,27615
2020,09,석류,9781
2020,09,세러리,2234
2020,09,수박,3270591
2020,09,수입과일,891132
2020,09,숙주,76487
2020,09,시금치,484029
2020,09,신선초,2234
2020,09,쌈채,12447
2020,09,쌈추,10525
2020,09,쑥갓,1432
2020,09,아욱,504
2020,09,애플수박,4586
2020,09,애호박,470838
2020,09,양배추,1352250
2020,09,양상추,344436
2020,09,양파,3368663
2020,09,얼갈이,9679
2020,09,연근,11700
2020,09,열무,77266
2020,09,열무 얼갈이,99995
2020,09,오디 국산,19869
2020,09,오렌지,9781
2020,09,오이,806538
2020,09,옥수수,6080
2020,09,완두콩,53222
2020,09,우엉,14103
2020,09,인삼,2484
2020,09,자두,143238
2020,09,자몽,9781
2020,09,쪽파,88065
2020,09,찰옥수수,198262
2020,09,참나물,25091
2020,09,참다래 국산,39106
2020,09,참외,59643
2020,09,청경채,9855
2020,09,청양고추,44557
2020,09,체리,5135
2020,09,취나물,45402
2020,09,츄키니,12690
2020,09,케일,2234
2020,09,콜라비,1092
2020,09,콩나물,460550
2020,09,토마토,1518822
2020,09,토마토(방울),646468
2020,09,파세리,30176
2020,09,파인애플,138629
2020,09,파채,18642
2020,09,파프리카,147519
2020,09,포도,714265
2020,09,풋고추,204084
2020,09,풋옥수수,54060
2020,09,피망,3443
2020,09,호박,859051
2020,09,홍갓,50761
2020,09,홍고추,14894
2020,10,가지,702895
2020,10,감,290610
2020,10,감귤,629619
2020,10,감자,936476
2020,10,갓,6813
2020,10,건가지,1229
2020,10,건고추,1074
2020,10,건취나물,1955
2020,10,고구마,1078887
2020,10,고구마순,1435
2020,10,고사리,10038
2020,10,고추,957736
2020,10,곶감,27829
2020,10,근대,96176
2020,10,기장,7994
2020,10,기타잡곡류,931
2020,10,깐마늘,200469
2020,10,깐양파,98920
2020,10,깻잎,83284
2020,10,냉이,7024
2020,10,늙은호박,29058
2020,10,다발무,441918
2020,10,단감,1023312
2020,10,단호박,33938
2020,10,달래,8819
2020,10,당근,816112
2020,10,대추,66360
2020,10,대파,763458
2020,10,더덕,8055
2020,10,도라지,15432
2020,10,돈나물,2445
2020,10,돌나물,5415
2020,10,두릅,16022
2020,10,딸기,237671
