NTN_CODE,YR_INFO_CN,BASE_MM,BSIS_IVTY_QY,PDTN_QY,IMPT_QY,EPOT_QY,CSP_QY,TMED_IVTY_QY,DMTC_CSP_QY,SPLY_QY,PDLT_CODE,PDLT_NM,MDFCN_YMD,ETL_LDG_DT
221,2012/13,06,1.3,6.33,0.68,3.43,3.81,1.08,0,0,0101,½Ò,20130613,20210419165432
100,2012/13,06,25.1,104,0,9,96.1,24,0,0,0101,½Ò,20130613,20210419165432
206,2012/13,06,9.33,20.2,0.6,7.5,10.5,12.13,0,0,0101,½Ò,20130613,20210419165432
097,2012/13,06,5.09,37.5,1.5,0,40,4.09,0,0,0101,½Ò,20130613,20210419165432
046,2012/13,06,45.02,143,2.9,0.3,144,46.62,0,0,0101,½Ò,20130613,20210419165432
248,2013/14,05,105.43,479.26,36.31,38.91,476.84,107.84,0,0,0101,½Ò,20130613,20210419165432
221,2013/14,05,1.08,6.04,0.71,3.12,3.66,1.05,0,0,0101,½Ò,20130613,20210419165432
100,2013/14,05,24,108,0,8.5,98.5,25,0,0,0101,½Ò,20130613,20210419165432
170,2013/14,05,0.9,6.2,0,3.2,2.7,1.2,0,0,0101,½Ò,20130613,20210419165432
206,2013/14,05,11.63,21.1,0.6,8.5,10.6,14.23,0,0,0101,½Ò,20130613,20210419165432
229,2013/14,05,2.08,27.85,0.1,7.7,20.6,1.73,0,0,0101,½Ò,20130613,20210419165432
097,2013/14,05,4.09,37.7,1.5,0,40.3,2.99,0,0,0101,½Ò,20130613,20210419165432
169,2013/14,05,1.43,11.7,1.2,0,12.93,1.41,0,0,0101,½Ò,20130613,20210419165432
046,2013/14,05,46.62,144,3,0.2,147,46.42,0,0,0101,½Ò,20130613,20210419165432
062,2013/14,06,0.46,4.85,0.03,0.85,4,0.49,0,0,0101,½Ò,20130613,20210419165432
248,2010/11,11,200.69,651.97,131.65,132.48,116.52,197.93,0,0,0101,½Ò,20121207,20210419165432
036,2012/13,10,5.88,27,0.4,7.85,2.7,5.93,0,0,0101,½Ò,20121207,20210419165432
248,2012/13,02,105.46,465.81,34.44,37.49,469.32,101.95,0,0,0101,½Ò,20130212,20210419165432
206,2012/13,01,9.38,20.5,0.4,8,10.6,11.68,0,0,0101,½Ò,20130212,20210419165432
169,2012/13,01,1.81,10.99,1.5,0,12.97,1.33,0,0,0101,½Ò,20130212,20210419165432
062,2012/13,01,0.7,4.7,0.15,0.85,3.9,0.8,0,0,0101,½Ò,20130212,20210419165432
011,2010/11,11,2.34,17.2,0.01,9.49,0.1,4.11,0,0,0101,½Ò,20121207,20210419165432
036,2010/11,11,7.83,23.17,0.44,16.58,2.84,7.18,0,0,0101,½Ò,20121207,20210419165432
248,2011/12,11,197.93,695.69,147.79,156.52,144.39,198.17,0,0,0101,½Ò,20121207,20210419165432
248,2012/13,10,198.64,658.73,135.39,134.83,144.39,176.71,0,0,0101,½Ò,20121207,20210419165432
011,2012/13,11,0.96,11.5,0.01,5.5,0.1,0.97,0,0,0101,½Ò,20121207,20210419165432
206,2011/12,02,5.62,20.46,0.6,6.95,10.4,9.33,0,0,0101,½Ò,20130212,20210419165432
170,2012/13,01,1,6.8,0.05,3.8,2.65,1.4,0,0,0101,½Ò,20130212,20210419165432
046,2010/11,12,40.53,137,0.54,0.5,135,42.57,0,0,0101,½Ò,20130122,20210419165432
206,2010/11,12,6.1,20.26,0.2,10.65,10.3,5.62,0,0,0101,½Ò,20130122,20210419165432
229,2010/11,12,1.47,26.37,0.5,7,19.4,1.94,0,0,0101,½Ò,20130122,20210419165432
169,2010/11,12,3.52,10.54,1.3,0,12.9,2.46,0,0,0101,½Ò,20130122,20210419165432
046,2011/12,12,42.57,140.7,1.62,0.44,139.5,44.95,0,0,0101,½Ò,20130122,20210419165432
206,2011/12,12,5.62,20.46,0.6,6.5,10.4,9.78,0,0,0101,½Ò,20130122,20210419165432
229,2011/12,12,1.94,27.08,0.1,7.5,19.85,1.77,0,0,0101,½Ò,20130122,20210419165432
248,2012/13,11,105.81,464.31,34.29,36.52,467.87,102.25,0,0,0101,½Ò,20130122,20210419165432
046,2012/13,12,44.95,143,2.4,0.5,144,45.85,0,0,0101,½Ò,20130122,20210419165432
097,2012/13,11,4.83,36.9,1.45,0,40,3.18,0,0,0101,½Ò,20130122,20210419165432
206,2012/13,12,9.78,20.5,0.4,8,10.6,12.08,0,0,0101,½Ò,20130122,20210419165432
170,2012/13,12,0.81,6.7,0.05,4,2.65,0.91,0,0,0101,½Ò,20130122,20210419165432
169,2012/13,12,1.81,11,1.5,0,12.95,1.36,0,0,0101,½Ò,20130122,20210419165432
248,2010/11,02,95.19,449.09,32.86,34.9,445.6,98.68,0,0,0101,½Ò,20130212,20210419165432
100,2010/11,02,20.5,95.98,0,2.77,90.21,23.5,0,0,0101,½Ò,20130212,20210419165432
206,2010/11,02,6.1,20.26,0.2,10.65,10.3,5.62,0,0,0101,½Ò,20130212,20210419165432
097,2010/11,02,6.58,35.5,3.1,0,39,6.18,0,0,0101,½Ò,20130212,20210419165432
229,2011/12,02,1.94,27.08,0.1,7.72,19.65,1.75,0,0,0101,½Ò,20130212,20210419165432
100,2012/13,01,25.1,99,0,8,94.6,21.5,0,0,0101,½Ò,20130212,20210419165432
170,2012/13,02,1,6.8,0.05,3.8,2.65,1.4,0,0,0101,½Ò,20130212,20210419165432
229,2012/13,02,1.75,27.71,0.2,7.4,20.1,2.16,0,0,0101,½Ò,20130212,20210419165432
097,2012/13,02,5.09,36.9,0.8,0,40,2.79,0,0,0101,½Ò,20130212,20210419165432
046,2012/13,01,45.02,143,2.4,0.5,144,45.92,0,0,0101,½Ò,20130212,20210419165432
011,2011/12,11,4.11,15.5,0.01,12.7,0.1,0.96,0,0,0101,½Ò,20121207,20210419165432
036,2011/12,11,7.18,25.26,0.5,17.35,4.6,5.88,0,0,0101,½Ò,20121207,20210419165432
248,2012/13,11,198.17,653.05,134.99,130.87,467.87,173,0,0,0101,½Ò,20121207,20210419165432
036,2012/13,11,5.88,26.7,0.4,8.35,3.2,5.63,0,0,0101,½Ò,20121207,20210419165432
206,2012/13,02,9.33,20.5,0.4,8,10.6,11.63,0,0,0101,½Ò,20130212,20210419165432
